cluster,gene,score,logfoldchange,pval,pval_adj
7,s1pr1,19.455725,4.5366344,2.606466702248343e-84,1.9307160757395133e-82
7,pdgfrb,19.363003,4.521065,1.5837811895511207e-83,1.1312722782508005e-81
7,syne1b,19.356771,3.19099,1.787424578815835e-83,1.2327066060798862e-81
7,apoeb,18.844614,3.5383954,3.253325563167267e-79,2.1204805951784947e-77
7,mt2,18.844072,3.2106462,3.286744922526667e-79,2.1204805951784947e-77
7,col18a1a,18.813313,3.977525,5.87500300762556e-79,3.671876879765975e-77
7,ablim1b,18.792587,3.6620288,8.684179029305571e-79,5.26313880563974e-77
7,si:ch211-152c2.3,18.770124,4.659676,1.325747086910963e-78,7.79851227594684e-77
7,map4l,18.736244,2.9514272,2.507084314911335e-78,1.4326196085207625e-76
7,hsd11b2,18.50675,4.1026,1.8216411647300422e-76,1.0120228692944679e-74
7,mdkb,18.158298,3.41247,1.1039240123852726e-73,5.967156823704177e-72
7,tenm4,18.078089,3.1200075,4.742332276686109e-73,2.4959643561505836e-71
7,slc38a3b,17.955437,5.1788626,4.3514451224287566e-72,2.2315103191942343e-70
7,nat16,17.652674,2.7908564,9.705212743159221e-70,4.852606371579611e-68
7,nrgna,17.612724,3.294749,1.9674384045603065e-69,9.597260510050275e-68
7,pygl,17.59421,3.9595995,2.7283313937164426e-69,1.2992054255792583e-67
7,icn,17.438118,3.0870168,4.238086363321842e-68,1.9712029596845777e-66
7,ptpn13,17.3448,3.4354558,2.1592361040039045e-67,9.814709563654111e-66
7,gpm6ab,17.301308,2.762975,4.5983563253989333e-67,2.0437139223995262e-65
7,gstm.1,17.284212,2.926974,6.186178417477425e-67,2.689642790207576e-65
7,proca1,17.211435,3.7568095,2.1796428582301908e-66,9.275075992468898e-65
7,zgc:112332,17.115475,4.618525,1.1378387930179916e-65,4.740994970908298e-64
7,epas1b,17.069992,2.9834428,2.48234592892858e-65,1.013202419970849e-63
7,gfap,17.010086,3.5820506,6.913522698121539e-65,2.7654090792486157e-63
8,tnr,39.170967,6.8312216,0.0,0.0
8,SLC4A5,38.7131,7.438862,0.0,0.0
